Unnamed: 0,passResult,offenseFormation,personnelO,personnelD,defendersInBox,dropBackType,pff_playAction,pff_passCoverage,pff_passCoverageType,playDirection
0,I,SHOTGUN,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Cover-0,Man,left
1,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Quarters,Zone,right
2,C,EMPTY,"0 RB, 0 TE, 5 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
3,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
4,C,SHOTGUN,"2 QB, 2 RB, 0 TE, 2 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Quarters,Zone,right
5,C,SHOTGUN,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
6,I,PISTOL,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
7,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
8,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
9,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,right
10,C,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-1,Man,left
11,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
12,S,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,,0,Cover-1,Man,left
13,R,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,SCRAMBLE,1,Quarters,Zone,right
14,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
15,I,SHOTGUN,"0 RB, 0 TE, 5 WR","2 DL, 4 LB, 5 DB",4.0,TRADITIONAL,0,Cover-1,Man,left
16,C,SINGLEBACK,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",6.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-2,Zone,right
17,C,SINGLEBACK,"2 RB, 1 TE, 2 WR","5 DL, 2 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,right
18,C,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",8.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,right
19,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
20,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
21,C,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 4 LB, 3 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
22,R,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,SCRAMBLE,0,Cover-3,Zone,right
23,S,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
24,R,EMPTY,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",5.0,SCRAMBLE,0,Quarters,Zone,left
25,C,EMPTY,"0 RB, 1 TE, 4 WR","4 DL, 1 LB, 6 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
26,I,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,,0,Cover-2,Zone,right
27,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",8.0,TRADITIONAL,1,Cover-3,Zone,left
28,I,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-6,Zone,right
29,C,SHOTGUN,"2 RB, 1 TE, 2 WR","3 DL, 3 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
30,C,SHOTGUN,"1 RB, 2 TE, 2 WR","1 DL, 4 LB, 6 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
31,C,PISTOL,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
32,I,SINGLEBACK,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,right
33,R,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,SCRAMBLE,0,Cover-2,Zone,right
34,I,EMPTY,"2 QB, 1 RB, 1 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
35,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
36,C,SHOTGUN,"0 RB, 2 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
37,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,DESIGNED_ROLLOUT_LEFT,1,Cover-1,Man,right
38,C,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
39,I,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 4 LB, 6 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
40,S,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-3,Zone,right
41,IN,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",5.0,TRADITIONAL,0,Red Zone,Other,left
42,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
43,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,,0,Cover-3,Zone,right
44,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,SCRAMBLE,1,Red Zone,Other,right
45,I,EMPTY,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
46,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
47,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,SCRAMBLE,0,Cover-2,Zone,right
48,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
49,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,right
50,I,EMPTY,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
51,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Quarters,Zone,left
52,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,right
53,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
54,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-0,Man,right
55,R,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-3,Zone,left
56,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
57,C,SHOTGUN,"1 RB, 0 TE, 4 WR","3 DL, 2 LB, 6 DB",5.0,TRADITIONAL,0,Cover-3,Zone,right
58,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
59,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
60,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,DESIGNED_ROLLOUT_LEFT,1,Cover-6,Zone,right
61,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,DESIGNED_ROLLOUT_LEFT,1,Cover-3,Zone,right
62,C,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 2 LB, 6 DB",4.0,TRADITIONAL,0,Cover-1,Man,left
63,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
64,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
